feature,importance
numerical__clinical_acuity,1769
numerical__age,1330
numerical__flow_pressure_z,991
numerical__vitals_documented,478
categorical__insurance_status_Other,248
categorical__insurance_status_Self pay,206
categorical__gender_Female,196
categorical__arrivalmode_ambulance,181
categorical__insurance_status_Medicaid,150
categorical__arrivalhour_bin_07-10,143
categorical__employstatus_Disabled,137
categorical__employstatus_Not Employed,135
categorical__cluster_name_Complex Elderly Admissions,134
categorical__arrivalmode_Car,134
categorical__race_White or Caucasian,117
categorical__cluster_name_Community Ambulatory Care,98
categorical__arrivalhour_bin_23-02,93
categorical__previousdispo_Transfer to Another Facility,92
categorical__race_Black or African American,91
categorical__arrivalhour_bin_19-22,90
categorical__previousdispo_No previous dispo,88
categorical__employstatus_Full Time,84
categorical__arrivalday_Sunday,78
categorical__arrivalhour_bin_11-14,73
categorical__arrivalday_Saturday,71
categorical__arrivalmode_Walk-in,68
categorical__insurance_status_Commercial,65
categorical__previousdispo_Admit,65
categorical__arrivalhour_bin_15-18,63
categorical__insurance_status_Medicare,61
categorical__employstatus_Retired,61
categorical__previousdispo_Discharge,60
categorical__lang_English,59
categorical__arrivalday_Monday,58
categorical__arrivalmonth_July,57
categorical__race_Other,52
categorical__arrivalmonth_March,47
categorical__employstatus_Student - Full Time,46
categorical__arrivalday_Friday,45
categorical__arrivalmonth_June,45
categorical__cluster_name_Acute Ambulance Pathways,44
categorical__ethnicity_Hispanic or Latino,43
categorical__ethnicity_Non-Hispanic,43
categorical__arrivalday_Thursday,40
categorical__arrivalmonth_April,38
categorical__race_Asian,37
categorical__employstatus_Self Employed,37
categorical__employstatus_Unknown,37
categorical__arrivalhour_bin_03-06,36
categorical__arrivalmonth_November,36
categorical__arrivalmonth_May,35
categorical__arrivalday_Tuesday,35
categorical__arrivalmonth_August,34
categorical__arrivalmode_Other,34
categorical__cluster_name_Moderate Complexity Care,34
categorical__arrivalmonth_January,33
categorical__arrivalmonth_February,32
categorical__arrivalday_Wednesday,32
categorical__arrivalmonth_September,31
categorical__arrivalmonth_December,30
categorical__employstatus_Part Time,30
categorical__previousdispo_AMA,27
categorical__arrivalmonth_October,25
categorical__race_Unknown,19
categorical__gender_Male,17
categorical__ethnicity_Unknown,15
categorical__previousdispo_LWBS after Triage,13
categorical__arrivalmode_Public Transportation,13
categorical__arrivalmode_Wheelchair,13
categorical__race_Patient Refused,11
categorical__previousdispo_Eloped,10
categorical__employstatus_Student - Part Time,10
categorical__arrivalmode_Police,6
categorical__ethnicity_Patient Refused,3
categorical__previousdispo_Send to L&D,2
categorical__race_American Indian or Alaska Native,2
categorical__lang_Other,2
categorical__previousdispo_LWBS before Triage,2
categorical__race_Native Hawaiian or Other Pacific Islander,0
categorical__employstatus_On Active Military Duty,0
categorical__previousdispo_Observation,0
