feature,importance
numerical__clinical_acuity,1774
numerical__age,1302
numerical__flow_pressure_z,868
numerical__vitals_documented,450
categorical__insurance_status_Other,235
categorical__insurance_status_Self pay,206
categorical__gender_Female,199
categorical__arrivalmode_ambulance,192
categorical__insurance_status_Medicaid,172
categorical__employstatus_Not Employed,142
categorical__cluster_name_Complex Elderly Admissions,142
categorical__employstatus_Disabled,138
categorical__race_White or Caucasian,134
categorical__arrivalmode_Car,128
categorical__arrivalhour_bin_07-10,124
categorical__race_Black or African American,103
categorical__cluster_name_Community Ambulatory Care,103
categorical__employstatus_Full Time,101
categorical__previousdispo_Transfer to Another Facility,100
categorical__arrivalmode_Unknown,99
categorical__arrivalhour_bin_23-02,85
categorical__arrivalhour_bin_19-22,80
categorical__previousdispo_Admit,79
categorical__previousdispo_No previous dispo,78
categorical__arrivalmode_Walk-in,74
categorical__arrivalday_Sunday,72
categorical__insurance_status_Commercial,68
categorical__arrivalhour_bin_15-18,66
categorical__arrivalmonth_July,62
categorical__arrivalday_Saturday,62
categorical__arrivalhour_bin_11-14,60
categorical__previousdispo_Discharge,60
categorical__lang_English,57
categorical__insurance_status_Medicare,56
categorical__employstatus_Retired,52
categorical__arrivalmonth_May,52
categorical__arrivalmonth_March,49
categorical__employstatus_Student - Full Time,48
categorical__arrivalhour_bin_03-06,48
categorical__cluster_name_Acute Ambulance Pathways,47
categorical__arrivalmonth_January,45
categorical__arrivalday_Friday,44
categorical__ethnicity_Hispanic or Latino,43
categorical__arrivalday_Monday,42
categorical__arrivalmonth_April,41
categorical__ethnicity_Non-Hispanic,40
categorical__employstatus_Part Time,40
categorical__cluster_name_Moderate Complexity Care,40
categorical__arrivalmonth_September,39
categorical__employstatus_Unknown,39
categorical__employstatus_Self Employed,38
categorical__arrivalday_Tuesday,38
categorical__race_Other,38
categorical__arrivalmonth_August,37
categorical__arrivalmonth_December,35
categorical__race_Asian,34
categorical__arrivalmonth_June,34
categorical__arrivalmonth_November,33
categorical__arrivalday_Thursday,33
categorical__arrivalday_Wednesday,32
categorical__arrivalmode_Other,31
categorical__arrivalmonth_February,30
categorical__arrivalmonth_October,29
categorical__previousdispo_AMA,26
categorical__race_Unknown,25
categorical__arrivalmode_Public Transportation,18
categorical__ethnicity_Unknown,16
categorical__gender_Male,16
categorical__previousdispo_Eloped,15
categorical__arrivalmode_Wheelchair,12
categorical__employstatus_Student - Part Time,11
categorical__previousdispo_LWBS after Triage,11
categorical__race_Patient Refused,9
categorical__arrivalmode_Police,6
categorical__previousdispo_Send to L&D,4
categorical__race_American Indian or Alaska Native,3
categorical__previousdispo_LWBS before Triage,2
categorical__ethnicity_Patient Refused,2
categorical__employstatus_On Active Military Duty,1
categorical__lang_Other,1
categorical__previousdispo_Observation,0
categorical__race_Native Hawaiian or Other Pacific Islander,0
