feature,importance
numerical__clinical_acuity,0.3089316836280834
categorical__cluster_name_Complex Elderly Admissions,0.10807404072929476
categorical__cluster_name_Community Ambulatory Care,0.09512060463723997
numerical__age,0.09123507429347286
numerical__flow_pressure_z,0.09109873393585118
categorical__employstatus_Retired,0.04442020125623516
categorical__previousdispo_Admit,0.04108503897927597
categorical__insurance_status_Other,0.023323709197933043
categorical__arrivalmode_ambulance,0.02036488286833198
categorical__cluster_name_Acute Ambulance Pathways,0.018456741424700746
categorical__insurance_status_Medicare,0.018345734464061573
categorical__previousdispo_Discharge,0.017545303263730848
categorical__cluster_name_Moderate Complexity Care,0.01601721166906882
categorical__arrivalmode_Car,0.013851800903358413
numerical__vitals_documented,0.009682815860364513
categorical__employstatus_Full Time,0.008530722419780298
categorical__insurance_status_Self pay,0.008271150968287327
categorical__insurance_status_Medicaid,0.007253337462712921
categorical__employstatus_Disabled,0.005665782919633091
categorical__race_White or Caucasian,0.0055840287534072225
categorical__arrivalmode_Walk-in,0.004321693625878335
categorical__employstatus_Not Employed,0.0030396215758981063
categorical__previousdispo_No previous dispo,0.0030055279652222242
categorical__employstatus_Student - Full Time,0.002339502725749463
categorical__insurance_status_Commercial,0.0022241126009848876
categorical__race_Black or African American,0.0019160463681819012
categorical__employstatus_Part Time,0.0018038393597893353
categorical__ethnicity_Non-Hispanic,0.0017920350597361817
categorical__race_Other,0.0017102512111262156
categorical__gender_Male,0.0015761412851186738
categorical__gender_Female,0.0015394632120068132
categorical__ethnicity_Hispanic or Latino,0.0013493529864954349
categorical__arrivalhour_bin_07-10,0.0011508993411797378
categorical__arrivalhour_bin_23-02,0.0009328893752995677
categorical__arrivalday_Sunday,0.0008449753228651716
categorical__arrivalday_Saturday,0.0008176483558100849
categorical__arrivalhour_bin_15-18,0.000749369926336515
categorical__arrivalhour_bin_19-22,0.0007431504056121457
categorical__arrivalhour_bin_11-14,0.000713250756056877
categorical__lang_English,0.0007012456789800028
categorical__lang_Other,0.0006699246855217406
categorical__arrivalday_Tuesday,0.0006244711664906171
categorical__arrivalmode_Other,0.000610013503153842
categorical__arrivalday_Friday,0.0006094032811600018
categorical__arrivalday_Monday,0.0006035208461725806
categorical__arrivalday_Thursday,0.0005819264104430355
categorical__arrivalday_Wednesday,0.0005795550270913796
categorical__previousdispo_Transfer to Another Facility,0.0005480357574366098
categorical__arrivalmonth_May,0.0005347150817575138
categorical__arrivalmonth_June,0.0005267154313620299
categorical__arrivalmonth_January,0.0005204542517547536
categorical__arrivalmonth_April,0.0005162603157010343
categorical__arrivalmonth_March,0.0005097549095126038
categorical__arrivalmonth_July,0.0005069336066729986
categorical__arrivalhour_bin_03-06,0.0004886079053805701
categorical__arrivalmonth_December,0.0004859612249046894
categorical__arrivalmonth_August,0.000485878834827907
categorical__arrivalmonth_October,0.0004819469660439895
categorical__arrivalmonth_February,0.00048163599268376034
categorical__arrivalmonth_September,0.0004797690352259422
categorical__arrivalmonth_November,0.0004770256223562269
categorical__employstatus_Self Employed,0.00031710660245049845
categorical__previousdispo_AMA,0.0002623785010942468
categorical__race_Asian,0.00023332764773169315
categorical__race_Patient Refused,0.0002332543735114314
categorical__previousdispo_LWBS after Triage,0.00020520717918293805
categorical__arrivalmode_Public Transportation,0.00018740572279168024
categorical__ethnicity_Unknown,0.00016206831410990418
categorical__previousdispo_Eloped,0.00013263246745621085
categorical__employstatus_Unknown,0.00012957216826393252
categorical__arrivalmode_Wheelchair,0.00012224530971359935
categorical__race_Unknown,0.00012138232237215375
categorical__ethnicity_Patient Refused,0.00010705321351916549
categorical__race_American Indian or Alaska Native,8.193682079864835e-05
categorical__employstatus_Student - Part Time,6.153028925721325e-05
categorical__previousdispo_LWBS before Triage,5.296388000871251e-05
categorical__previousdispo_Observation,4.5517519127923406e-05
categorical__race_Native Hawaiian or Other Pacific Islander,4.140791308235742e-05
categorical__arrivalmode_Police,1.9199327614928747e-05
categorical__previousdispo_Send to L&D,1.8205722872570338e-05
categorical__employstatus_On Active Military Duty,1.3478076234714446e-05
