feature,importance
numerical__clinical_acuity,0.30084863560600594
categorical__cluster_name_Complex Elderly Admissions,0.11675269637434006
categorical__cluster_name_Community Ambulatory Care,0.10560900708404233
numerical__age,0.07784119801756854
numerical__flow_pressure_z,0.07107305055854037
categorical__employstatus_Retired,0.05105107794971452
categorical__previousdispo_Admit,0.044472241743703955
categorical__arrivalmode_ambulance,0.026843093639126188
categorical__insurance_status_Other,0.021336890380662388
categorical__previousdispo_Discharge,0.018404117825661395
categorical__insurance_status_Medicare,0.018192300220015053
categorical__cluster_name_Moderate Complexity Care,0.01737852352919862
categorical__cluster_name_Acute Ambulance Pathways,0.017281330079235695
categorical__employstatus_Full Time,0.009583686163241687
categorical__arrivalmode_Unknown,0.008406334939681064
numerical__vitals_documented,0.0083538541520089
categorical__arrivalmode_Car,0.008227931511327103
categorical__insurance_status_Self pay,0.008124985751766307
categorical__race_White or Caucasian,0.00786917134927442
categorical__insurance_status_Medicaid,0.0071780619243931405
categorical__employstatus_Disabled,0.006553645110103876
categorical__previousdispo_No previous dispo,0.003537092960496484
categorical__arrivalmode_Walk-in,0.0033952704597297254
categorical__employstatus_Not Employed,0.0030631813000706054
categorical__employstatus_Student - Full Time,0.0026728917773521195
categorical__employstatus_Part Time,0.002508626558516278
categorical__insurance_status_Commercial,0.0024568859085898186
categorical__race_Black or African American,0.001986234763213229
categorical__ethnicity_Non-Hispanic,0.001893869126983678
categorical__ethnicity_Hispanic or Latino,0.0016274017832166707
categorical__gender_Female,0.0015791270016060769
categorical__race_Other,0.0015567210393995065
categorical__gender_Male,0.001541291290808469
categorical__arrivalhour_bin_07-10,0.0011361073162489371
categorical__arrivalhour_bin_23-02,0.0009336325739808767
categorical__arrivalday_Sunday,0.0008175285264262837
categorical__arrivalmode_Other,0.0008174039323520433
categorical__arrivalday_Saturday,0.0008003015491268316
categorical__arrivalhour_bin_15-18,0.0007709307453182804
categorical__arrivalhour_bin_19-22,0.0007432858597532702
categorical__arrivalhour_bin_11-14,0.0007379603502917654
categorical__lang_English,0.0006713692380677167
categorical__lang_Other,0.0006416667479398408
categorical__arrivalday_Monday,0.0006295276918398095
categorical__arrivalday_Friday,0.000622898850647463
categorical__arrivalday_Tuesday,0.0006136856549707472
categorical__arrivalday_Wednesday,0.0005989112229345952
categorical__arrivalday_Thursday,0.0005875041929085704
categorical__arrivalmonth_June,0.0005544541763655449
categorical__arrivalmonth_May,0.0005454651963314817
categorical__arrivalmonth_March,0.0005256938570829262
categorical__previousdispo_Transfer to Another Facility,0.0005230565433068123
categorical__arrivalmonth_January,0.0005226005083268886
categorical__arrivalmonth_July,0.0005174251204130222
categorical__arrivalmonth_April,0.0005167566354344091
categorical__arrivalmonth_August,0.0005053644099788586
categorical__arrivalhour_bin_03-06,0.0005001284529278318
categorical__arrivalmonth_September,0.0004910275195689493
categorical__arrivalmonth_February,0.0004865826905683085
categorical__arrivalmonth_October,0.0004852774428399674
categorical__arrivalmonth_November,0.00048423313621364327
categorical__arrivalmonth_December,0.00047857482590633605
categorical__employstatus_Self Employed,0.00031471274888933345
categorical__previousdispo_LWBS after Triage,0.0002590576020071669
categorical__race_Patient Refused,0.0002379791606110601
categorical__previousdispo_AMA,0.00023134019222198225
categorical__race_Asian,0.0002283534184557442
categorical__ethnicity_Unknown,0.00015263032986054007
categorical__arrivalmode_Public Transportation,0.00015174100787275626
categorical__previousdispo_Eloped,0.00014075848195781575
categorical__employstatus_Unknown,0.00013039207339673734
categorical__arrivalmode_Wheelchair,0.00012920034234052403
categorical__race_Unknown,0.00012191004489544484
categorical__ethnicity_Patient Refused,0.00011240472333493174
categorical__race_American Indian or Alaska Native,7.97381780232856e-05
categorical__employstatus_Student - Part Time,6.572635767106098e-05
categorical__previousdispo_LWBS before Triage,4.893497751246188e-05
categorical__previousdispo_Observation,4.630387707400166e-05
categorical__race_Native Hawaiian or Other Pacific Islander,3.9615811045483465e-05
categorical__arrivalmode_Police,1.7769712483017404e-05
categorical__previousdispo_Send to L&D,1.72047256649104e-05
categorical__employstatus_On Active Military Duty,1.4443387015604343e-05
