feature,importance
categorical__cluster_name_Complex Elderly Admissions,0.45018947
numerical__clinical_acuity,0.1034572
categorical__cluster_name_Community Ambulatory Care,0.093563154
categorical__previousdispo_Admit,0.039326493
categorical__cluster_name_Moderate Complexity Care,0.033186015
categorical__employstatus_Retired,0.024652733
categorical__insurance_status_Self pay,0.022590183
categorical__insurance_status_Other,0.022549612
categorical__previousdispo_Discharge,0.020702984
categorical__cluster_name_Acute Ambulance Pathways,0.018367767
numerical__age,0.01104438
categorical__arrivalmode_Unknown,0.011014608
numerical__flow_pressure_z,0.010500254
categorical__arrivalmode_ambulance,0.008095288
categorical__employstatus_Disabled,0.007507879
categorical__insurance_status_Medicaid,0.0072587603
numerical__vitals_documented,0.005541378
categorical__employstatus_Full Time,0.0050319773
categorical__arrivalmode_Car,0.004970171
categorical__race_White or Caucasian,0.004655449
categorical__previousdispo_No previous dispo,0.0033752623
categorical__previousdispo_Transfer to Another Facility,0.0030246512
categorical__insurance_status_Medicare,0.0029861925
categorical__employstatus_Student - Full Time,0.0029565915
categorical__gender_Male,0.002723937
categorical__arrivalmode_Other,0.0026560216
categorical__employstatus_Not Employed,0.0026032038
categorical__gender_Female,0.002499357
categorical__ethnicity_Non-Hispanic,0.0023849022
categorical__employstatus_Part Time,0.00236613
categorical__arrivalhour_bin_23-02,0.002231912
categorical__arrivalhour_bin_07-10,0.0020791912
categorical__arrivalmode_Walk-in,0.0020165998
categorical__employstatus_Unknown,0.0019926303
categorical__previousdispo_AMA,0.0018296193
categorical__previousdispo_Eloped,0.0017963477
categorical__insurance_status_Commercial,0.0017814774
categorical__race_Black or African American,0.0017284799
categorical__lang_Other,0.0017013808
categorical__arrivalday_Saturday,0.0015947287
categorical__race_Unknown,0.0015682956
categorical__arrivalhour_bin_19-22,0.0015301069
categorical__arrivalhour_bin_03-06,0.0014985654
categorical__arrivalday_Sunday,0.0014903985
categorical__arrivalmode_Wheelchair,0.0014817688
categorical__employstatus_On Active Military Duty,0.0013972078
categorical__lang_English,0.0013872784
categorical__arrivalday_Monday,0.0013474422
categorical__race_Asian,0.0013308994
categorical__race_Other,0.0013244111
categorical__arrivalhour_bin_11-14,0.0013216473
categorical__previousdispo_LWBS after Triage,0.0013173666
categorical__arrivalmode_Public Transportation,0.0013060522
categorical__arrivalhour_bin_15-18,0.001245683
categorical__ethnicity_Unknown,0.0012369872
categorical__race_American Indian or Alaska Native,0.0012361532
categorical__arrivalmode_Police,0.0012227732
categorical__previousdispo_Observation,0.001214446
categorical__previousdispo_Send to L&D,0.0011661755
categorical__employstatus_Student - Part Time,0.0011636195
categorical__previousdispo_LWBS before Triage,0.0011554974
categorical__arrivalmonth_October,0.0011435313
categorical__ethnicity_Patient Refused,0.0011363607
categorical__arrivalmonth_December,0.0011335338
categorical__arrivalmonth_February,0.0010928862
categorical__arrivalmonth_August,0.001081049
categorical__ethnicity_Hispanic or Latino,0.0010695965
categorical__arrivalmonth_May,0.0010625975
categorical__arrivalday_Tuesday,0.0010545882
categorical__arrivalday_Wednesday,0.0010542165
categorical__race_Native Hawaiian or Other Pacific Islander,0.0010534792
categorical__arrivalmonth_September,0.0010489295
categorical__arrivalmonth_July,0.0010400881
categorical__arrivalmonth_January,0.0010179441
categorical__arrivalday_Thursday,0.0010128947
categorical__arrivalmonth_November,0.0010082655
categorical__arrivalmonth_March,0.0009878875
categorical__employstatus_Self Employed,0.00095373264
categorical__arrivalmonth_June,0.00095258595
categorical__race_Patient Refused,0.00089106616
categorical__arrivalmonth_April,0.00087693037
categorical__arrivalday_Friday,0.000850689
