feature,importance
numerical__admission_complexity_score,0.27285442
categorical__cluster_name_Complex Elderly Admissions,0.12159277
categorical__cluster_name_Community Ambulatory Care,0.07392066
numerical__clinical_acuity,0.07338416
numerical__age_acuity_interaction,0.06360589
categorical__age_band_18-44,0.038867928
numerical__previous_admission_flag,0.033426423
categorical__previousdispo_Discharge,0.03023304
numerical__previous_discharge_flag,0.025010258
categorical__employstatus_Retired,0.023733873
categorical__previousdispo_Admit,0.019435206
categorical__insurance_status_Other,0.018789003
categorical__insurance_status_Self pay,0.015283468
numerical__age,0.009302525
categorical__insurance_status_Medicaid,0.007974648
numerical__flow_pressure_z,0.007748054
categorical__employstatus_Disabled,0.007485487
numerical__age_z,0.007004272
numerical__flow_acuity_interaction,0.0066617085
numerical__vitals_documented,0.0064041456
numerical__vitals_missing_flag,0.006338294
categorical__cluster_name_Moderate Complexity Care,0.0059420923
categorical__race_White or Caucasian,0.005682556
categorical__arrivalmode_ambulance,0.005584943
numerical__ambulance_arrival_flag,0.005380039
numerical__clinical_operational_stress_score,0.00517215
categorical__arrivalmode_Other,0.0048041064
categorical__arrivalmode_Unknown,0.0045053246
categorical__employstatus_Full Time,0.004229791
categorical__previousdispo_No previous dispo,0.0038001775
categorical__employstatus_Part Time,0.0031799788
categorical__cluster_name_Acute Ambulance Pathways,0.0030780884
categorical__previousdispo_Transfer to Another Facility,0.0030559
numerical__flow_pressure_abs,0.0030269509
categorical__gender_Male,0.0029577438
categorical__employstatus_Student - Full Time,0.002901562
categorical__arrivalmode_Car,0.0027216459
categorical__arrivalmode_Walk-in,0.0027023656
categorical__gender_Female,0.002675478
categorical__ethnicity_Non-Hispanic,0.0025936158
categorical__insurance_status_Medicare,0.0025317555
categorical__arrivalhour_bin_07-10,0.0023172612
categorical__arrivalhour_bin_23-02,0.0022374357
categorical__lang_Other,0.002232636
categorical__employstatus_Not Employed,0.0021442673
categorical__previousdispo_AMA,0.0021362773
categorical__employstatus_Unknown,0.001901107
categorical__insurance_status_Commercial,0.0016860773
categorical__arrivalday_Saturday,0.0016441186
categorical__previousdispo_Eloped,0.0015116618
numerical__working_age_flag,0.0013573508
categorical__arrivalhour_bin_15-18,0.0013499957
categorical__arrivalday_Monday,0.0013347625
categorical__race_Unknown,0.0013334564
categorical__arrivalday_Sunday,0.0013290494
categorical__arrivalmode_Wheelchair,0.0012610151
categorical__lang_English,0.0012081986
categorical__age_band_75+,0.0011610605
categorical__race_Native Hawaiian or Other Pacific Islander,0.0011281193
categorical__arrivalhour_bin_03-06,0.0011224401
categorical__arrivalhour_bin_19-22,0.0011182866
categorical__race_Other,0.001106324
categorical__race_Asian,0.0011022589
categorical__race_Black or African American,0.0010704256
categorical__ethnicity_Unknown,0.0010356711
categorical__arrivalhour_bin_11-14,0.0009830405
numerical__walk_in_flag,0.0009143151
categorical__employstatus_Student - Part Time,0.00088291994
categorical__arrivalmonth_September,0.0008804072
categorical__arrivalmonth_February,0.0008713511
categorical__age_band_45-64,0.0008569643
categorical__ethnicity_Hispanic or Latino,0.00083573314
categorical__arrivalmonth_March,0.00083329616
categorical__arrivalmonth_July,0.00080476544
categorical__age_band_65-74,0.0007588676
categorical__previousdispo_LWBS after Triage,0.00073988433
categorical__arrivalmonth_June,0.0007238027
categorical__arrivalday_Wednesday,0.0007149125
categorical__arrivalday_Tuesday,0.0006919476
categorical__arrivalmonth_August,0.0006730473
categorical__arrivalmonth_December,0.0006365856
categorical__arrivalmonth_November,0.00062848977
categorical__arrivalmonth_May,0.00060554664
categorical__arrivalmonth_January,0.00058609655
categorical__arrivalday_Thursday,0.00057164615
categorical__employstatus_Self Employed,0.0005518174
categorical__arrivalday_Friday,0.0005121008
categorical__arrivalmonth_October,0.0004991058
categorical__arrivalmonth_April,0.00047270817
categorical__arrivalmode_Public Transportation,0.00040589858
categorical__race_American Indian or Alaska Native,0.00036760568
categorical__race_Patient Refused,0.00035707754
categorical__previousdispo_LWBS before Triage,0.00022830997
categorical__employstatus_On Active Military Duty,0.0
categorical__ethnicity_Patient Refused,0.0
numerical__ambulance_high_acuity_flag,0.0
numerical__elderly_high_acuity_flag,0.0
categorical__previousdispo_Send to L&D,0.0
categorical__arrivalmode_Police,0.0
categorical__previousdispo_Observation,0.0
numerical__very_high_acuity_flag,0.0
numerical__high_acuity_flag,0.0
numerical__elderly_flag,0.0
numerical__vitals_missing_high_acuity,0.0
