feature,importance
numerical__clinical_acuity,2917
numerical__arrival_acuity_pressure_score,2180
numerical__escalation_pressure_score,2002
numerical__flow_pressure_z,1774
numerical__flow_acuity_interaction,1224
numerical__flow_pressure_abs,1097
numerical__vitals_documented,511
categorical__arrivalhour_bin_23-02,401
categorical__previousdispo_LWBS after Triage,355
numerical__age,209
categorical__arrivalmode_ambulance,195
categorical__arrivalmode_Unknown,183
categorical__arrivalmode_Walk-in,171
categorical__previousdispo_Discharge,165
categorical__arrivalday_Saturday,125
categorical__arrivalhour_bin_19-22,109
categorical__arrivalhour_bin_03-06,87
categorical__previousdispo_No previous dispo,81
categorical__race_Black or African American,76
categorical__arrivalmode_Car,75
categorical__arrivalhour_bin_15-18,70
numerical__vitals_missing_flag,60
categorical__arrivalmonth_February,57
categorical__race_American Indian or Alaska Native,48
categorical__insurance_status_Medicaid,44
categorical__arrivalmonth_January,43
categorical__cluster_name_Community Ambulatory Care,39
categorical__arrivalhour_bin_11-14,35
categorical__arrivalhour_bin_07-10,31
categorical__previousdispo_Eloped,31
numerical__low_flow_pressure_flag,29
numerical__ambulance_arrival_flag,25
categorical__arrivalmonth_April,25
categorical__previousdispo_Admit,25
categorical__arrivalmonth_May,24
categorical__cluster_name_Moderate Complexity Care,23
categorical__race_White or Caucasian,22
categorical__arrivalday_Friday,18
categorical__arrivalmonth_October,17
categorical__cluster_name_Complex Elderly Admissions,15
categorical__employstatus_Not Employed,15
categorical__previousdispo_AMA,14
categorical__arrivalday_Monday,13
categorical__age_band_18-44,13
categorical__arrivalmonth_August,13
categorical__arrivalmode_Public Transportation,12
categorical__race_Other,12
categorical__cluster_name_Acute Ambulance Pathways,12
categorical__previousdispo_LWBS before Triage,10
categorical__employstatus_Disabled,10
categorical__arrivalmonth_June,9
categorical__insurance_status_Commercial,9
categorical__employstatus_Student - Part Time,8
categorical__insurance_status_Other,6
categorical__arrivalday_Thursday,6
categorical__age_band_65-74,5
categorical__gender_Female,5
numerical__high_flow_pressure_flag,5
categorical__arrivalmode_Other,5
categorical__arrivalday_Wednesday,5
categorical__age_band_45-64,4
categorical__insurance_status_Medicare,3
categorical__employstatus_Retired,3
categorical__gender_Male,2
categorical__arrivalmode_Police,2
categorical__arrivalmode_Wheelchair,2
categorical__arrivalmonth_September,2
categorical__arrivalmonth_July,2
categorical__race_Patient Refused,1
categorical__race_Native Hawaiian or Other Pacific Islander,1
categorical__employstatus_Full Time,1
categorical__previousdispo_Transfer to Another Facility,1
categorical__employstatus_Part Time,1
categorical__arrivalmonth_November,0
categorical__age_band_75+,0
numerical__transfer_arrival_flag,0
numerical__high_acuity_flag,0
categorical__race_Asian,0
categorical__insurance_status_Self pay,0
categorical__employstatus_On Active Military Duty,0
categorical__arrivalday_Sunday,0
categorical__race_Unknown,0
categorical__arrivalday_Tuesday,0
categorical__employstatus_Unknown,0
categorical__arrivalmonth_December,0
categorical__employstatus_Student - Full Time,0
categorical__employstatus_Self Employed,0
categorical__previousdispo_Send to L&D,0
categorical__previousdispo_Observation,0
categorical__arrivalmonth_March,0
