feature,importance
numerical__policy_burden_score,0.2622108500828003
numerical__flow_pressure_z,0.11069235154710752
numerical__urgent_flow_redesign_score,0.07597250409077785
numerical__frailty_policy_score,0.06921797730936181
numerical__previous_admission_flag,0.05525495697554297
categorical__previousdispo_Admit,0.04021144509387502
numerical__flow_pressure_abs,0.04005656425558806
categorical__arrivalmode_ambulance,0.037979335853933566
numerical__ambulance_arrival_flag,0.0369293629854273
categorical__cluster_name_Complex Elderly Admissions,0.028521486344780148
numerical__equity_monitoring_score,0.025974728800930016
categorical__cluster_name_Community Ambulatory Care,0.023277327803659768
categorical__insurance_status_Medicaid,0.022576373297933806
numerical__public_or_medicaid_flag,0.022452965884333934
numerical__age,0.020176310030850762
categorical__cluster_name_Moderate Complexity Care,0.01564468518143127
numerical__elderly_flag,0.014161678987064642
categorical__cluster_name_Acute Ambulance Pathways,0.013179829033434216
categorical__age_band_75+,0.012659443965822772
categorical__insurance_status_Commercial,0.010668984774009706
categorical__previousdispo_Discharge,0.009173677861694523
categorical__arrivalmode_Car,0.00790085202446862
categorical__insurance_status_Medicare,0.004465515431852316
categorical__employstatus_Retired,0.0042064149759297575
categorical__arrivalmode_Walk-in,0.0034667709422865384
categorical__employstatus_Full Time,0.0033844303633568757
numerical__clinical_acuity,0.0033002682042081776
categorical__insurance_status_Other,0.0031948867480565864
categorical__previousdispo_No previous dispo,0.0031027730585419127
categorical__age_band_65-74,0.00262436869238509
categorical__age_band_18-44,0.0019666833091273156
numerical__vitals_documented,0.0019275063643199395
numerical__unemployed_or_unknown_flag,0.0018818559727531974
categorical__employstatus_Not Employed,0.001731517547445476
categorical__employstatus_Unknown,0.0017107245655015267
categorical__age_band_45-64,0.0013263452235828357
categorical__arrivalmode_Unknown,0.0011949912291160478
categorical__arrivalmode_Other,0.0007310640700447825
categorical__arrivalhour_bin_15-18,0.0006091391449599125
categorical__arrivalhour_bin_19-22,0.0005821238503772176
categorical__employstatus_Disabled,0.0004975863453658056
categorical__arrivalhour_bin_11-14,0.0004287586248654847
categorical__arrivalmode_Public Transportation,0.0004207396396908024
categorical__arrivalhour_bin_07-10,0.00038329480545906447
categorical__race_White or Caucasian,0.0003119272898268002
categorical__arrivalhour_bin_23-02,0.0002588737981575221
categorical__employstatus_Student - Full Time,0.00015148250494121228
categorical__arrivalhour_bin_03-06,0.00014887031390790634
categorical__arrivalmode_Wheelchair,0.00012633266208902303
categorical__previousdispo_LWBS after Triage,0.00012262778360786394
categorical__previousdispo_Transfer to Another Facility,0.00010410373967950257
categorical__ethnicity_Non-Hispanic,9.405614517242921e-05
categorical__race_Black or African American,9.088639885176905e-05
categorical__ethnicity_Hispanic or Latino,8.670577601867103e-05
categorical__ethnicity_Unknown,6.153716960505636e-05
categorical__race_Other,5.562792453020169e-05
categorical__employstatus_Part Time,5.4575714352499915e-05
categorical__insurance_status_Self pay,4.4550563328547863e-05
categorical__previousdispo_AMA,3.5612198334065816e-05
categorical__employstatus_Self Employed,2.9974196670976835e-05
categorical__race_Unknown,2.867524151951609e-05
categorical__gender_Male,2.809037134175337e-05
categorical__gender_Female,2.1816973952429925e-05
categorical__previousdispo_Eloped,1.9118533316966624e-05
categorical__race_Asian,9.236492122687485e-06
categorical__previousdispo_Send to L&D,6.835511988609671e-06
categorical__previousdispo_LWBS before Triage,5.865758449203293e-06
categorical__arrivalday_Wednesday,5.10711190409943e-06
categorical__arrivalday_Monday,5.105239921142606e-06
categorical__arrivalday_Sunday,4.610324120874582e-06
categorical__arrivalday_Tuesday,4.385572369654431e-06
categorical__arrivalday_Thursday,4.095889794924044e-06
categorical__arrivalday_Friday,4.069939413812105e-06
categorical__arrivalday_Saturday,3.7403458687418708e-06
categorical__arrivalmonth_April,3.5003502655025225e-06
categorical__arrivalmonth_March,3.3520631667199145e-06
categorical__arrivalmonth_May,3.1836305261939704e-06
categorical__arrivalmonth_December,2.8663688189262885e-06
categorical__previousdispo_Observation,2.827771342424845e-06
categorical__arrivalmonth_September,2.8043742041515556e-06
categorical__arrivalmonth_August,2.745715717851641e-06
categorical__race_Patient Refused,2.740471571954408e-06
categorical__arrivalmonth_July,2.673363275914842e-06
categorical__arrivalmonth_January,2.6601582796456825e-06
categorical__arrivalmonth_June,2.6443851820613865e-06
categorical__arrivalmonth_November,2.6410871877878688e-06
categorical__arrivalmonth_February,2.194094091999815e-06
categorical__arrivalmonth_October,1.9067421732686533e-06
categorical__ethnicity_Patient Refused,6.184855457888543e-07
categorical__employstatus_Student - Part Time,3.247843012677291e-07
categorical__arrivalmode_Police,2.6722517648623187e-07
categorical__race_American Indian or Alaska Native,1.001499491705261e-07
categorical__race_Native Hawaiian or Other Pacific Islander,9.28726624244657e-15
categorical__employstatus_On Active Military Duty,6.659099851035331e-19
numerical__high_acuity_flag,0.0
