"feature","category"
"age","Demographic"
"gender","Demographic"
"ethnicity","Demographic"
"race","Demographic"
"lang","Demographic"
"employstatus","Demographic"
"insurance_status","Demographic"
"arrivalmode","Flow"
"arrivalmonth","Flow"
"arrivalday","Flow"
"arrivalhour_bin","Flow"
"previousdispo","Flow"
"arrival_mode_pressure","Flow Engineered"
"temporal_pressure","Flow Engineered"
"prior_flow_risk","Flow Engineered"
"flow_pressure_index","Flow Engineered"
"flow_pressure_z","Flow Engineered"
"esi","Clinical Acuity"
"esi_z","Clinical Acuity"
"pulse_best","Vitals"
"resp_best","Vitals"
"spo2_best","Vitals"
"sbp_best","Vitals"
"tachycardia","Physiology"
"tachypnea","Physiology"
"hypoxia","Physiology"
"hypotension","Physiology"
"physio_instability","Physiology Engineered"
"physio_z","Physiology Engineered"
"complaint_severity","Complaint Severity"
"complaint_z","Complaint Severity"
"pulse_recorded","Documentation"
"resp_recorded","Documentation"
"spo2_recorded","Documentation"
"sbp_recorded","Documentation"
"vitals_documented","Documentation"
"clinical_acuity","Segmentation"
"clinical_acuity_quartile","Segmentation"
"age_band","Reporting Bands"
"flow_band","Reporting Bands"
"acuity_band","Reporting Bands"
"cluster","Clustering"
"cluster_name","Clustering"
"disposition","Outcome"
"admit_flag","Outcome"
